"id","geom","LENGTH","NOM"
62,"01050000204F660000010000000102000000080000001EFCE07D3DE629C1A984332F3C504E41DF3E62F39FE529C18DA3ECCB29504E4168EF3EE73AE529C14D47F88A20504E41B96602D6A7E429C1CF2565CD15504E41404A130C4EE429C1AC95FD8A0D504E414DD57454F9E329C1B1EFB8A4FF4F4E41E855EC0B8DE329C16CF15348F34F4E412242565FB7E229C19F2DEFFCEA4F4E41","402.808","RUE SAAD IBN ALI OUKKAS"
63,"01050000204F6600000100000001020000000300000087E939C097E429C1723C5A41BA4F4E41B645769D23E429C1D68627BA05504E415207843FB2E329C19C248D2A51504E41","268.087","RUE AL WOUROUD"
64,"01050000204F6600000100000001020000000200000029DE8E19E5E429C1CF24D23557504E415FBEB9D42AE429C1B5984C203A504E41","91.418","RUE DRAA"
65,"01050000204F66000001000000010200000002000000CE94DB4CF1E329C17E1A82B5B14F4E4152D08D4716E329C176D56F8040504E41","253.942","RUE ANNOUSSOUR"
66,"01050000204F66000001000000010200000007000000D17C0575D4E429C1230612E278504E41666EEFED9BE529C15468ED855C504E4134DE92A031E629C123379BF343504E4127A8C3A9C7E629C1D64B5F791F504E41FB9A5BD108E729C1E156F5E40B504E41EBED863D4CE729C166DFBE59F24F4E41347D016178E729C1F36EF1CADC4F4E41","390.546","RUE OTHMANE IBN AFFANE"
67,"01050000204F660000010000000102000000020000004CF1F0D409E329C18FA9E32662504E419634898EEFE129C1C50F47AA55504E41","119.466","RUE AGHDAD"
68,"01050000204F660000010000000102000000170000008956048E02E629C1B2750122B44F4E41F5E535F243E629C17754D78E924F4E41DC35B7036DE629C11F958783794F4E4128C8FBCA88E629C1DFF1B439684F4E41BEF8609E08E729C1ACD6E02B034F4E418084B3A94EE729C161DFE44CC64E4E4157CA7FE976E729C1E3A4B285A44E4E412CE4DC11B3E729C12E55E0FE6D4E4E41E14CDEC2CBE729C17776E1EF594E4E4184A915E2DDE729C1234D7DC1494E4E41B08E0CD8EAE729C1206628243E4E4E4163D21E8AF2E729C1685254F9254E4E41F2AC486BFCE729C1F325803DDE4D4E4132D19A9405E829C182241A1E954D4E41552657DB16E829C17FEC16F0204D4E4165885A8028E829C1E5B8CE36A14C4E410F80065435E829C1942CA338294C4E41B160E24E63E829C1D1A19BDC9E4B4E4191AAF76F8DE829C1E200A90D594B4E415A412DC4A1E829C10F6CD53B424B4E41CB98B80BD6E829C1338ECDC81A4B4E415BD50341E8E829C140EDD2A80B4B4E41A8C7466593E929C16D754AC39F4A4E41","2213.774","BOULEVARD ABDELMOUMEN"
69,"01050000204F660000010000000102000000250000008AE8BA5ADBE929C1EAAD7D2D9B4A4E4121B2934E74EA29C139C76462A94A4E4126235EC2DEEA29C166603936B14A4E4168A0E04F27EB29C13639069CB34A4E41BE051072BDEB29C1707E0169B14A4E41CFB39DF9E2EB29C16F4C7827B04A4E417BCAD6E0CCEC29C1F80A69F7A84A4E412B3EE55CACED29C1C643B6D0A14A4E41D518F89AFFED29C1BCDDE88F9E4A4E41B37A5E7B4DEE29C14C1664729D4A4E41D8156F5797EE29C1C07F4D769E4A4E417DE43761D3EE29C1F29F22EDA04A4E41FD131AA8EEEE29C1067FEA87A24A4E41ED63073044EF29C1B070406AA94A4E415D037D6A83EF29C1F5310DC2B04A4E415E9BBCCFF2EF29C15D75844BC14A4E41AD157117B0F029C1D593977EE14A4E4101304C89C0F129C14CDADE2E0E4B4E41C44C863DCBF429C1BAD2227C8E4B4E418B27DA8593F729C1D06B77F9034C4E417AD0F88F32F829C154ECBB22204C4E41D5ED303C84F929C1A2169F2F6A4C4E41FC37FC8835FA29C165204961904C4E41A6714D811AFB29C173B35A24C14C4E415D4AE0D65EFB29C1908221F2D24C4E41BF1FDF2587FC29C12DC7566B214D4E414936CCA2A6FE29C18637C1B1B14D4E41ABCF5BECF4FF29C11A8B0D8B0C4E4E41A0BA6BADA8002AC151BDF94D3F4E4E419BCE47EC8D012AC13CFFF598824E4E413295684B0E022AC13241F844A64E4E41977FC79B73022AC1C7FFCB19C34E4E41F9BA1FE9B4022AC1479AA3C6D14E4E417548B76328032AC1EF718A46E94E4E4176431A1F84032AC19453D277F74E4E41BA4D0E3780052AC120133F3D474F4E4191586799C9062AC125E8B92F794F4E41","3848.732","BOULEVARD GHANDI"
70,"01050000204F660000010000000102000000020000006141A2A7D7E129C180355ECB75504E41A0F7A16D6EE029C1B672690894504E41","158.703","RUE HALAB"
71,"01050000204F6600000100000001020000000D000000903C888098032AC16AADD16590554E415AF77FE8E5012AC1AFE8C1B51B554E41E7CFBCD5D6002AC15B453ABDD7544E417CD5E12B66002AC17976E42BB9544E411C01733B27002AC1C8ACC1BFA6544E4168E01F82E0FF29C1FE2A58A293544E416E8E8C7B91FF29C108D2B36883544E419F74369F02FF29C13131D2E06D544E41FA2E92B5BBFD29C18CBF78DF40544E415209C3BD8DFC29C149A134EF16544E41FEC3528CF2FA29C195E60F96ED534E416DBB6183A1FA29C1D5A5B339E6534E414912008EB0F929C186CCBFCACF534E41","1316.119","AVENUE TAN TAN"
